DNMT3A	0.078125,0.0306122448979591,0.1074380165289256,0.1123595505617977,0.0536912751677852,0.1511627906976744,0.0985915492957746,0.2253521126760563,0.0579710144927536,0.0384615384615384,0.3214285714285714,0.1194029850746268,0.0408163265306122,0.0549450549450549,0.0675675675675675,0.1714285714285714,0.1241379310344827,0.0909090909090909,0.3191489361702128,0.0615384615384615,0.3333333333333333,0.1020408163265306,0.1346153846153846,0.0579710144927536,0.21875,0.1153846153846154,0.3493975903614458,0.116504854368932,0.2222222222222222,0.0625,0.4545454545454545,0.1,0.1666666666666666,0.0694444444444444,0.0612244897959183,0.1351351351351351,0.0729166666666666,0.1282051282051282,0.0961538461538461,0.2708333333333333,0.1829268292682926,0.1935483870967742,0.2352941176470588,0.2564102564102564,0.0549450549450549,0.0897435897435897,0.2678571428571428,0.1219512195121951,0.0655737704918032,0.1590909090909091,0.0694444444444444,0.079646017699115,0.0388349514563106,0.1428571428571428,0.15,0.0410958904109589,0.0823529411764705,0.0588235294117647,0.2608695652173913,0.0629921259842519,0.1666666666666666,0.1470588235294117,0.2307692307692308,0.1025641025641025,0.358974358974359,0.16,0.0804597701149425,0.0779220779220779,0.2619047619047619,0.0754716981132075,0.0571428571428571,0.0571428571428571,0.0694444444444444,0.0689655172413793,0.0261437908496732,0.4285714285714285,0.1016949152542373,0.0428571428571428,0.2210526315789473,0.0492957746478873,0.1276595744680851,0.066420664206642,0.2857142857142857,0.198019801980198,0.0505617977528089,0.0207612456747404,0.1724137931034483,0.0619469026548672,0.0254237288135593,0.0521327014218009,0.1458333333333333,0.0967741935483871,0.0649350649350649,0.0391061452513966,0.03954802259887,0.1572327044025157,0.054054054054054,0.032258064516129,0.125,0.1388888888888889,0.0727272727272727,0.0247524752475247,0.0769230769230769,0.25,0.0391061452513966,0.0333333333333333,0.048780487804878,0.1017964071856287,0.074074074074074,0.2781954887218045,0.1063829787234042,0.3076923076923077,0.1631578947368421,0.1472868217054263,0.0824742268041237,0.2595419847328244,0.1153846153846154,0.1,0.0434782608695652,0.1138211382113821,0.1571428571428571,0.1,0.0608695652173913,0.0833333333333333,0.056910569105691,0.0729166666666666,0.168,0.2375,0.0442477876106194,0.0482758620689655,0.0869565217391304,0.14,0.1142857142857142,0.05,0.0701754385964912,0.2105263157894736,0.2325581395348837,0.0660377358490566,0.2131147540983606,0.0274509803921568,0.0927835051546391,0.4666666666666667,0.1326530612244898,0.1176470588235294,0.0495495495495495,0.0288461538461538,0.12,0.0631578947368421,0.0314960629921259,0.1363636363636363,0.2260869565217392,0.1648351648351648,0.0925925925925926,0.0947368421052631,0.0677966101694915,0.057471264367816,0.3181818181818182,0.1791044776119403,0.0930232558139534,0.1111111111111111,0.217391304347826,0.0353982300884955,0.064516129032258,0.1318681318681318,0.0476190476190476,0.0446428571428571,0.0473372781065088,0.1071428571428571,0.1714285714285714,0.0769230769230769,0.0930232558139534,0.0597014925373134,0.3529411764705882,0.1627906976744186,0.1162790697674418,0.1219512195121951,0.2833333333333333,0.2816901408450704,0.0860655737704918,0.4444444444444444,0.0975609756097561,0.0561797752808988,0.2368421052631579,0.1521739130434782,0.1132075471698113,0.0714285714285714,0.4285714285714285,0.3894736842105263,0.1028037383177569,0.0588235294117647,0.0581395348837209,0.2631578947368421,0.0677966101694915,0.058252427184466,0.1296296296296296,0.0384615384615384,0.0784313725490196,0.2592592592592592,0.0520833333333333,0.0952380952380952,0.1632653061224489,0.0952380952380952,0.2711864406779661,0.2142857142857142,0.1515151515151515,0.108433734939759,0.1358024691358024,0.45,0.0851063829787234,0.1014492753623188,0.1463414634146341,0.0666666666666666,0.1081081081081081,0.0943396226415094,0.1136363636363636,0.2533333333333333,0.2083333333333333,0.3378378378378378,0.1975308641975308,0.3333333333333333,0.0694444444444444,0.0262172284644194,0.0892857142857142,0.0323886639676113,0.3608247422680412,0.0631578947368421,0.15,0.0962962962962963,0.1016949152542373,0.074074074074074,0.0747663551401869,0.1116504854368932,0.0336134453781512,0.0281124497991967,0.0288461538461538,0.0851063829787234,0.0757575757575757,0.0618556701030927,0.1621621621621621,0.0884353741496598,0.0582959641255605,0.3703703703703704,0.0470588235294117,0.2528735632183908,0.2,0.1627906976744186,0.037037037037037,0.1666666666666666,0.0693069306930693,0.0833333333333333,0.0833333333333333,0.036144578313253,0.1904761904761904,0.1176470588235294,0.0689655172413793,0.215686274509804,0.0416666666666666,0.0378787878787878,0.0375,0.0254777070063694,0.1694915254237288,0.1666666666666666,0.0529411764705882,0.1764705882352941,0.0718085106382978,0.1011235955056179,0.0192837465564738,0.2727272727272727,0.0389610389610389,0.1184210526315789,0.180327868852459,0.1733333333333333,0.2089552238805968,0.1140350877192982,0.2077922077922078,0.125,0.1081081081081081,0.2142857142857142,0.1034482758620689,0.064516129032258,0.1851851851851852,0.1186440677966101,0.073170731707317,0.036144578313253,0.1153846153846154,0.1666666666666666,0.0851063829787234,0.2222222222222222,0.0961538461538461,0.3535353535353535,0.064516129032258,0.1011235955056179,0.0987654320987654,0.1025641025641025,0.0224719101123595,0.141025641025641,0.040650406504065,0.0324675324675324,0.0793650793650793,0.0251141552511415,0.0975609756097561,0.4479166666666667,0.1052631578947368,0.1739130434782608,0.0434782608695652,0.0396039603960396,0.0909090909090909,0.050632911392405,0.4,0.0333333333333333,0.3333333333333333,0.0364963503649635
TET2	0.048780487804878,0.0333333333333333,0.0444444444444444,0.3678160919540229,0.0833333333333333,0.1224489795918367,0.1282051282051282,0.0202020202020202,0.2142857142857142,0.184,0.1647058823529411,0.3333333333333333,0.1840490797546012,0.1351351351351351,0.2222222222222222,0.0892018779342723,0.2289156626506024,0.0633333333333333,0.0816326530612244,0.1428571428571428,0.0306122448979591,0.3181818181818182,0.1777777777777777,0.2686567164179104,0.1625,0.1462264150943396,0.1339285714285714,0.0459770114942528,0.08,0.0350877192982456,0.0606060606060606,0.0727272727272727,0.1111111111111111,0.1627906976744186,0.2105263157894736,0.0697674418604651,0.0879120879120879,0.1704918032786885,0.0816326530612244,0.0193548387096774,0.0694444444444444,0.1111111111111111,0.4379310344827586,0.0806451612903225,0.0481927710843373,0.2452830188679245,0.0446927374301676,0.0430622009569378,0.1186440677966101,0.3023255813953488,0.1221374045801526,0.1739130434782608,0.1052631578947368,0.2588235294117647,0.1217391304347826,0.2539682539682539,0.0466666666666666,0.0952380952380952,0.2098765432098765,0.1170212765957446,0.2261904761904762,0.0454545454545454,0.0363636363636363,0.0507246376811594,0.1111111111111111,0.1117824773413897,0.082901554404145,0.0495495495495495,0.0989010989010989,0.0467289719626168,0.220183486238532,0.0763358778625954,0.1,0.2925531914893617,0.0636942675159235,0.180672268907563,0.064516129032258,0.1095890410958904,0.2083333333333333,0.2413793103448276,0.0813953488372093,0.074074074074074,0.308641975308642,0.0851063829787234,0.2,0.0252100840336134,0.2256097560975609,0.3,0.0423728813559322,0.048780487804878,0.0267857142857142,0.0384615384615384,0.0196078431372549,0.1188118811881188,0.0396825396825396,0.0231884057971014,0.1052631578947368,0.0638297872340425,0.125,0.073170731707317,0.1304347826086956
ASXL1	0.0273972602739726,0.0975609756097561,0.074074074074074,0.462962962962963,0.0561797752808988,0.091743119266055,0.0189573459715639,0.1481481481481481,0.32,0.0303030303030303,0.0609756097560975,0.048076923076923,0.0975609756097561,0.0377358490566037,0.0975609756097561,0.0505050505050505,0.03125,0.1239669421487603,0.3152173913043478,0.2953020134228188,0.1052631578947368,0.0258620689655172,0.0266940451745379,0.38,0.4456521739130434,0.1413612565445026,0.3188405797101449,0.4698795180722892,0.3585858585858585,0.215686274509804,0.0470588235294117,0.3272727272727273,0.2692307692307692,0.0758620689655172,0.2261904761904762,0.1076923076923077,0.0925925925925926,0.2819383259911894,0.18,0.1884057971014492,0.0616740088105726,0.1296296296296296,0.0588235294117647,0.1851851851851852,0.2136752136752136,0.1481481481481481,0.0317460317460317,0.2,0.1333333333333333,0.075,0.35,0.2727272727272727,0.3333333333333333,0.0294117647058823,0.2380952380952381,0.1206896551724138,0.2807017543859649,0.0597014925373134,0.0694444444444444,0.1428571428571428,0.1052631578947368,0.2537313432835821,0.123076923076923,0.1721311475409836,0.064516129032258,0.2278481012658228,0.0857142857142857,0.1132075471698113,0.0555555555555555,0.0357142857142857,0.0196078431372549,0.0367647058823529,0.054054054054054,0.4666666666666667,0.4545454545454545,0.075,0.0714285714285714,0.0638297872340425,0.048780487804878,0.0217391304347826,0.054054054054054,0.0909090909090909,0.04,0.1176470588235294,0.027027027027027,0.119047619047619,0.0888888888888888,0.0416666666666666,0.0754716981132075,0.3333333333333333,0.1081081081081081
PPM1D	0.4,0.3333333333333333,0.4,0.1818181818181818,0.0606060606060606,0.0340425531914893,0.0282131661442006,0.0261437908496732,0.0526315789473684,0.109375,0.0294117647058823,0.125,0.4857142857142857,0.4666666666666667,0.0333333333333333,0.050632911392405,0.1464285714285714,0.0373134328358208,0.0583333333333333,0.1088435374149659,0.0327102803738317,0.0280701754385964,0.0359281437125748,0.0547945205479452,0.0909090909090909,0.2080536912751678,0.0652173913043478,0.0262295081967213,0.1243243243243243,0.0677966101694915,0.0566037735849056,0.1111111111111111,0.2,0.0869565217391304,0.1962616822429906,0.303030303030303,0.1048034934497816,0.0449438202247191,0.1639344262295081,0.0615384615384615,0.3768115942028985,0.0649350649350649,0.0423728813559322,0.0789473684210526,0.0754716981132075,0.1525423728813559
TP53	0.1081081081081081,0.0909090909090909,0.0291777188328912,0.375,0.0727272727272727,0.3703703703703704,0.4857142857142857,0.0888888888888888,0.15,0.4827586206896552,0.3626373626373626,0.1263157894736842,0.0566037735849056,0.0273972602739726,0.054054054054054,0.0632911392405063,0.0714285714285714,0.1666666666666666,0.1666666666666666,0.0888888888888888,0.0483870967741935,0.4366197183098591,0.0142180094786729,0.0465116279069767,0.0175438596491228,0.025,0.056338028169014,0.1746031746031746,0.050632911392405,0.0449438202247191,0.0735294117647058,0.0526315789473684,0.0833333333333333,0.125,0.05,0.1336206896551724,0.4038461538461538,0.0147058823529411
JAK2	0.0263157894736842,0.4854368932038835,0.0555555555555555,0.050632911392405,0.1025641025641025,0.0263157894736842,0.125,0.0333333333333333,0.0265486725663716,0.0372670807453416,0.0454545454545454,0.0631578947368421,0.0588235294117647,0.0526315789473684,0.0689655172413793,0.0666666666666666,0.0363636363636363,0.0256410256410256,0.064516129032258,0.0285714285714285,0.0350877192982456,0.4114583333333333,0.2142857142857142,0.0526315789473684,0.086021505376344,0.2788461538461538,0.2195121951219512,0.0505050505050505,0.3559322033898305,0.2952380952380952,0.4357798165137615,0.3606557377049181,0.0505050505050505,0.075268817204301,0.0617760617760617,0.1587301587301587,0.0594059405940594,0.1212121212121212,0.1612903225806451,0.0841121495327102,0.1470588235294117,0.0530973451327433,0.0304568527918781,0.0652173913043478,0.0652173913043478,0.0333333333333333,0.0684931506849315,0.048780487804878,0.0377358490566037,0.0533333333333333,0.0444444444444444,0.0357142857142857,0.0512820512820512,0.1176470588235294,0.0327868852459016
GNAS	0.3333333333333333,0.2105263157894736,0.1111111111111111,0.0655737704918032,0.0975609756097561,0.1,0.1290322580645161,0.0606060606060606,0.3333333333333333,0.4,0.4,0.4,0.029126213592233,0.3333333333333333,0.3333333333333333,0.0555555555555555,0.0545454545454545,0.0655737704918032,0.0204081632653061,0.072463768115942,0.0530973451327433,0.2222222222222222,0.0760869565217391,0.2395833333333333,0.1125,0.0526315789473684,0.1428571428571428,0.0895522388059701,0.0454545454545454,0.0571428571428571,0.0746268656716417,0.0649350649350649,0.1269841269841269,0.0821917808219178,0.0256410256410256,0.1153846153846154,0.0930232558139534,0.0204081632653061
SRSF2	0.4725274725274725,0.391304347826087,0.4326923076923077,0.2978723404255319,0.4411764705882353,0.3291139240506329,0.1219512195121951,0.3883495145631068,0.1308411214953271,0.0973451327433628,0.2988505747126437,0.3,0.1875,0.0769230769230769,0.0510204081632653,0.054054054054054,0.0363636363636363
MYD88	0.4390243902439024,0.1081081081081081,0.0729166666666666,0.0273972602739726,0.064516129032258,0.0816326530612244,0.0625,0.027027027027027,0.0377358490566037,0.0444444444444444,0.056338028169014,0.0590717299578059,0.2988505747126437,0.25,0.0619469026548672,0.1153846153846154,0.0444444444444444,0.054054054054054,0.0238095238095238
GNB1	0.0314960629921259,0.0930232558139534,0.0526315789473684,0.0481927710843373,0.0657894736842105,0.0555555555555555,0.0285714285714285,0.074074074074074,0.0869565217391304,0.1509433962264151,0.0418410041841004,0.1935483870967742,0.1666666666666666,0.1557377049180328,0.1066666666666666,0.2153846153846154,0.2448979591836734,0.1025641025641025,0.0579710144927536,0.0459770114942528
ATM	0.0689655172413793,0.4848484848484849,0.1818181818181818,0.04,0.0172413793103448,0.032520325203252,0.0975609756097561,0.0461538461538461,0.0363636363636363,0.4827586206896552,0.1333333333333333,0.1904761904761904,0.0404040404040404,0.081967213114754,0.032258064516129,0.0975609756097561,0.0288461538461538,0.140625,0.1290322580645161,0.073170731707317,0.0814814814814814,0.0833333333333333,0.0606060606060606,0.0347826086956521,0.0615384615384615,0.0888888888888888,0.0217391304347826,0.0892857142857142,0.4864864864864865,0.075,0.1149425287356321,0.0256410256410256,0.4802867383512545,0.0576923076923077,0.4696969696969697,0.0288461538461538,0.3,0.4774436090225564,0.0666666666666666,0.0210843373493975,0.072289156626506,0.4193548387096774,0.0347222222222222,0.0217391304347826,0.4,0.0512820512820512,0.0406091370558375,0.0583941605839416,0.1224489795918367,0.0531914893617021,0.0617283950617283,0.4528301886792453,0.16,0.4285714285714285,0.0393700787401574,0.4615384615384616,0.2549019607843137,0.2791878172588832,0.04,0.0888888888888888,0.489051094890511,0.0460526315789473,0.032258064516129,0.0609756097560975,0.0649350649350649,0.4659090909090909,0.04,0.0207468879668049,0.0331491712707182,0.08,0.1219512195121951,0.036144578313253,0.0377358490566037,0.0427350427350427,0.0666666666666666,0.057471264367816,0.03125,0.094059405940594,0.0332326283987915,0.1224489795918367,0.0512820512820512,0.45,0.0465116279069767,0.1,0.1333333333333333,0.0298507462686567,0.0666666666666666,0.4462809917355372,0.0394736842105263,0.2222222222222222,0.0380434782608695,0.0377358490566037,0.0952380952380952,0.087719298245614,0.0476190476190476,0.0606060606060606,0.0476190476190476,0.0329670329670329,0.1041214750542299,0.2105263157894736,0.1295681063122923,0.4578005115089514,0.0930232558139534,0.0983606557377049,0.1,0.1061643835616438,0.1851851851851852,0.1333333333333333,0.0158730158730158,0.068,0.1223021582733813,0.0655737704918032,0.0444444444444444,0.4754098360655738,0.0909090909090909,0.0821917808219178,0.024390243902439,0.0317460317460317,0.0122549019607843,0.3835616438356164,0.0512820512820512,0.4423076923076923,0.0339805825242718,0.0454545454545454,0.0340136054421768,0.4315352697095436,0.0869565217391304,0.12,0.0776699029126213,0.056338028169014,0.0689655172413793,0.0265486725663716,0.1818181818181818,0.1954022988505747,0.0212765957446808,0.0110132158590308,0.0485436893203883,0.0454545454545454,0.0240963855421686,0.03125,0.0714285714285714
KMT2C	0.0636363636363636,0.0303030303030303,0.1875,0.0869565217391304,0.0180722891566265,0.0139664804469273,0.0660377358490566,0.073170731707317,0.0631578947368421,0.0261780104712041,0.0277777777777777,0.079646017699115,0.0512820512820512,0.1538461538461538,0.1639344262295081,0.1,0.0505050505050505,0.0338983050847457,0.0476190476190476,0.15,0.0925925925925926,0.0384615384615384,0.0461538461538461,0.0224719101123595,0.0592334494773519,0.028169014084507,0.3333333333333333,0.16,0.0390625,0.0714285714285714,0.0232558139534883,0.056338028169014,0.0142857142857142,0.024390243902439,0.0704225352112676,0.0617283950617283,0.0263157894736842,0.054054054054054,0.2380952380952381,0.048780487804878,0.0779220779220779,0.0390625,0.0277777777777777,0.4166666666666667,0.4594594594594595,0.1419753086419753,0.074074074074074,0.1066666666666666,0.0717948717948717,0.0350877192982456,0.4306722689075631,0.1081081081081081,0.0437956204379562,0.0493827160493827,0.064516129032258,0.1088607594936708,0.0180995475113122,0.0183150183150183,0.1081081081081081,0.3888888888888889,0.0185185185185185,0.0833333333333333,0.1081081081081081,0.05,0.032258064516129,0.0816326530612244,0.0555555555555555,0.0727272727272727,0.0259740259740259,0.0588235294117647,0.0462962962962962,0.0625,0.0833333333333333,0.4570765661252899,0.1428571428571428,0.0467289719626168,0.1379310344827586,0.0170454545454545,0.0365853658536585,0.0314960629921259,0.1515151515151515,0.0515463917525773,0.027027027027027,0.0555555555555555,0.036144578313253,0.053763440860215,0.0526315789473684,0.0347490347490347,0.0362694300518134,0.032258064516129,0.0588235294117647,0.043010752688172,0.0277777777777777,0.03125,0.024,0.0434782608695652,0.0259740259740259,0.0735294117647058,0.1666666666666666,0.2727272727272727,0.1081081081081081,0.3220338983050847,0.048076923076923,0.1052631578947368,0.0674157303370786,0.4065040650406504,0.055045871559633,0.0465116279069767,0.1,0.0547945205479452,0.0416666666666666,0.1176470588235294,0.0485436893203883,0.0533333333333333,0.1481481481481481,0.0526315789473684,0.0274509803921568,0.053763440860215,0.0597014925373134,0.0769230769230769,0.0476190476190476,0.0476190476190476,0.0437956204379562,0.064516129032258,0.1052631578947368,0.027027027027027,0.4626865671641791,0.0176211453744493,0.0238095238095238,0.4,0.08
CHEK2	0.4,0.1363636363636363,0.2368421052631579,0.2022471910112359,0.1,0.05,0.1052631578947368,0.0407239819004524,0.2790697674418605,0.0290697674418604,0.0230414746543778,0.0615384615384615,0.0769230769230769,0.3333333333333333,0.0581395348837209,0.0909090909090909,0.0287769784172661,0.4455445544554456,0.0583333333333333,0.4843554443053818,0.108695652173913,0.0232558139534883,0.0444444444444444,0.08,0.175,0.0851063829787234,0.0259740259740259,0.0360824742268041,0.05
STAT3	0.09375,0.0408163265306122,0.05,0.0460526315789473,0.0263157894736842,0.06,0.0293255131964809,0.0654205607476635,0.1515151515151515,0.0848214285714285,0.0463576158940397,0.0392156862745098,0.0721153846153846,0.0952380952380952,0.0412844036697247,0.0252525252525252,0.0219298245614035,0.0397727272727272,0.0347826086956521,0.40625,0.0238095238095238,0.1025641025641025,0.0579710144927536,0.0352112676056338,0.0267857142857142,0.2809667673716012,0.0449438202247191,0.053763440860215,0.1025641025641025,0.056338028169014,0.0526315789473684,0.03125,0.048780487804878,0.1875,0.0789473684210526
ERCC2	0.0952380952380952,0.3333333333333333,0.3333333333333333,0.4761904761904762,0.0869565217391304,0.4417670682730924,0.0354609929078014,0.0337837837837837,0.0816326530612244,0.0816326530612244,0.0416666666666666,0.021505376344086,0.0632911392405063,0.0229885057471264,0.031413612565445,0.0228136882129277,0.074074074074074,0.1428571428571428,0.0211267605633802,0.2033898305084746,0.0434782608695652,0.027027027027027,0.0454545454545454,0.0273972602739726,0.0517241379310344,0.048780487804878,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4,0.0677966101694915,0.0869565217391304,0.0588235294117647,0.0930232558139534,0.0344827586206896,0.0263157894736842,0.0273972602739726,0.0909090909090909,0.4615384615384616,0.0449438202247191,0.2857142857142857
AFF3	0.0491803278688524,0.0365853658536585,0.017391304347826,0.050632911392405,0.0434782608695652,0.0317460317460317,0.0666666666666666,0.0327868852459016,0.0595238095238095,0.0404040404040404,0.0279329608938547,0.02803738317757,0.0833333333333333,0.0384615384615384,0.1818181818181818,0.0333333333333333,0.0253164556962025,0.0634920634920634,0.2727272727272727,0.0677966101694915,0.0285714285714285,0.4,0.0869565217391304,0.0333333333333333,0.0594059405940594,0.2272727272727273,0.119047619047619,0.1428571428571428,0.0982142857142857,0.1012658227848101,0.2727272727272727,0.1282051282051282,0.2307692307692308,0.0368098159509202,0.027027027027027,0.0930232558139534,0.0454545454545454,0.029520295202952,0.0229007633587786,0.032258064516129,0.0425531914893617,0.0851063829787234,0.0493827160493827,0.072463768115942,0.0217391304347826
SDHAF2	0.0256410256410256,0.3142857142857143,0.2790697674418605,0.4137931034482759,0.32,0.275,0.3870967741935484,0.3571428571428571,0.34,0.3076923076923077,0.1176470588235294,0.054054054054054
ABL2	0.017391304347826,0.0441176470588235,0.0377358490566037,0.0425531914893617,0.0597014925373134,0.0547945205479452,0.0365853658536585,0.03,0.0952380952380952,0.0306122448979591,0.0869565217391304,0.0510204081632653,0.044776119402985,0.0266666666666666,0.0273972602739726,0.0483870967741935,0.0930232558139534,0.0851063829787234,0.1219512195121951,0.0235294117647058,0.0454545454545454,0.0465116279069767,0.0296296296296296,0.225,0.0336134453781512,0.0833333333333333,0.1081081081081081,0.0185185185185185,0.04,0.0588235294117647,0.0287539936102236,0.1290322580645161,0.3333333333333333,0.0714285714285714,0.2857142857142857
LZTR1	0.1875,0.2105263157894736,0.0555555555555555,0.0201342281879194,0.0714285714285714,0.1212121212121212,0.0344827586206896,0.048076923076923,0.1379310344827586,0.1946902654867257,0.1836734693877551,0.2222222222222222,0.2592592592592592,0.2195121951219512,0.2,0.2285714285714285,0.1777777777777777,0.0930232558139534,0.0307692307692307,0.1071428571428571,0.4,0.0923076923076923,0.087719298245614,0.237410071942446,0.1875,0.0869565217391304,0.074074074074074,0.0655737704918032,0.3333333333333333,0.1875,0.2727272727272727,0.0588235294117647,0.0303030303030303,0.375,0.3333333333333333,0.0512820512820512,0.0588235294117647,0.0208333333333333,0.0701754385964912,0.3333333333333333,0.467065868263473,0.0625,0.1,0.054054054054054,0.0327868852459016,0.0677966101694915,0.0694444444444444,0.0357142857142857
PABPC1	0.1333333333333333,0.0677966101694915,0.2727272727272727,0.1538461538461538,0.217391304347826,0.123076923076923,0.1313559322033898,0.1515151515151515,0.0984848484848484,0.2051282051282051,0.21875,0.1891891891891892,0.1538461538461538,0.1891891891891892,0.0564516129032258,0.1043478260869565,0.1111111111111111
PPFIBP1	0.0491803278688524,0.4477611940298508,0.1739130434782608,0.0606060606060606,0.0689655172413793,0.0571428571428571,0.0444444444444444,0.0579710144927536,0.0833333333333333,0.0961538461538461,0.131578947368421,0.1623376623376623,0.0980392156862745,0.1052631578947368,0.022140221402214,0.0454545454545454,0.0245901639344262,0.04,0.0217391304347826,0.0263157894736842,0.017391304347826,0.0358974358974358,0.0423728813559322,0.0534351145038167,0.0526315789473684,0.0454545454545454,0.0294117647058823,0.0677966101694915,0.0353982300884955,0.0451127819548872,0.021505376344086,0.054054054054054,0.0769230769230769,0.032258064516129,0.0833333333333333